Customer ID,Current Loan Amount,Current Credit Balance,Monthly Debt,Years in current job,Years of Credit History,Number of Open Accounts,Months since last delinquent,Maximum Open Credit,payhis,amtowed,lenofcrhis,newcred,Score,Class Score
1,41617.0,12500,3468.08,35,1,3,0,158000,160.59,327.99809331188226,159.10214982481818,46.839903786706785,715.0,Very Good
2,64162.0,16000,5346.83,31,1,4,0,158000,160.59,316.99876327364643,159.10214982481818,48.94427190999916,706.0,Very Good
3,31692.0,0,2641.0,25,1,6,0,158000,160.59,328.9974961989174,159.10214982481818,51.696070952851464,720.0,Very Good
4,86639.0,17000,7219.92,14,1,3,0,158000,160.59,296.9990841199623,159.10214982481818,46.839903786706785,684.0,Very Good
5,36000.0,0,3000.0,25,1,6,0,158000,160.59,328.99779581800095,159.10214982481818,51.696070952851464,720.0,Very Good
6,72400.0,0,6033.33,27,1,5,0,158000,160.59,310.99890399340256,159.10214982481818,50.50611121761507,701.0,Very Good
7,105218.0,26000,8768.17,28,1,2,0,158000,160.59,277.99924584217416,159.10214982481818,44.0,662.0,Very Good
8,147304.0,0,12275.33,18,1,5,0,158000,160.59,246.99946131102044,159.10214982481818,50.50611121761507,637.0,Very Good
9,51320.0,0,4276.67,26,1,5,0,158000,160.59,323.99845380465035,159.10214982481818,50.50611121761507,714.0,Very Good
10,88948.0,19000,7412.33,16,1,4,0,158000,160.59,294.999107895202,159.10214982481818,48.94427190999916,684.0,Very Good
11,24411.0,0,2034.25,3,1,5,0,158000,160.59,329.9967494062337,159.10214982481818,50.50611121761507,720.0,Very Good
12,60000.0,0,5000.0,22,1,6,0,158000,160.59,319.99867748648194,159.10214982481818,51.696070952851464,711.0,Very Good
13,2400.0,0,200.0,5,1,6,0,158000,160.59,329.9669410485168,159.10214982481818,51.696070952851464,721.0,Very Good
14,2400.0,0,200.0,4,1,6,0,158000,160.59,329.9669410485168,159.10214982481818,51.696070952851464,721.0,Very Good
15,119085.0,0,9923.75,29,1,5,4,158000,160.59,264.9993336607975,114.60214982481818,50.50611121761507,611.0,Good
16,2400.0,0,200.0,6,1,6,0,158000,160.59,329.9669410485168,159.10214982481818,51.696070952851464,721.0,Very Good
17,168000.0,0,14000.0,38,1,6,0,158000,160.59,238.99952767225625,159.10214982481818,51.696070952851464,630.0,Good
18,45260.0,0,3771.67,21,1,5,0,158000,160.59,326.9982467811643,159.10214982481818,50.50611121761507,717.0,Very Good
19,51283.44,0,4273.62,12,1,5,0,158000,160.59,323.9984527023729,159.10214982481818,50.50611121761507,714.0,Very Good
20,46160.0,0,3846.67,13,1,5,0,158000,160.59,325.99828096415627,159.10214982481818,50.50611121761507,716.0,Very Good
21,2400.0,0,200.0,5,1,6,0,158000,160.59,329.9669410485168,159.10214982481818,51.696070952851464,721.0,Very Good
22,24000.0,0,2000.0,31,1,6,0,158000,160.59,329.9966937404971,159.10214982481818,51.696070952851464,721.0,Very Good
23,24925.0,18000,2077.08,20,1,5,0,158000,160.59,329.996816438751,159.10214982481818,50.50611121761507,720.0,Very Good
24,269721.0,84750,22476.75,17,1,4,0,158000,160.59,226.9997058029842,159.10214982481818,48.94427190999916,616.0,Very Good
25,93500.0,41560,7791.67,11,1,5,0,158000,160.59,289.9991513267343,159.10214982481818,50.50611121761507,680.0,Very Good
26,67558.0,15000,5629.83,16,1,2,1,158000,160.59,314.9988254410349,110.60214982481818,44.0,650.0,Good
27,44992.0,0,3749.33,19,1,4,0,158000,160.59,326.9982363379838,159.10214982481818,48.94427190999916,716.0,Very Good
28,28606.0,0,2383.83,8,1,5,0,158000,160.59,328.9972260929691,159.10214982481818,50.50611121761507,719.0,Very Good
29,33073.25,0,2756.1,28,1,4,5,158000,160.59,328.99760076513076,117.10214982481818,48.94427190999916,676.0,Good
30,72145.75,1000,6012.15,24,1,3,0,158000,160.59,310.9989001309638,159.10214982481818,46.839903786706785,698.0,Very Good
31,65572.0,0,5464.33,11,1,5,0,158000,160.59,315.9987898669537,159.10214982481818,50.50611121761507,706.0,Very Good
32,15662.0,0,1305.17,25,1,5,3,158000,160.59,329.9949336157083,113.10214982481818,50.50611121761507,674.0,Good
33,40610.0,0,3384.17,15,1,5,0,158000,160.59,327.99804603236885,159.10214982481818,50.50611121761507,718.0,Very Good
34,12000.0,0,1000.0,15,1,6,0,158000,160.59,329.9933875619671,159.10214982481818,51.696070952851464,721.0,Very Good
35,106226.0,14000,8852.17,16,1,4,0,158000,160.59,276.99925299851054,159.10214982481818,48.94427190999916,666.0,Very Good
36,169512.0,105000,14126.0,9,1,5,0,158000,160.59,238.99953188528136,159.10214982481818,50.50611121761507,629.0,Good
37,22122.0,0,1843.5,7,1,5,0,158000,160.59,329.9964130663782,159.10214982481818,50.50611121761507,720.0,Very Good
38,30726.0,0,2560.5,12,1,5,0,158000,160.59,328.9974174822374,159.10214982481818,50.50611121761507,719.0,Very Good
39,42861.0,0,3571.75,15,1,5,0,158000,160.59,326.9981486513226,159.10214982481818,50.50611121761507,717.0,Very Good
40,84136.0,0,7011.33,14,1,5,0,158000,160.59,299.9990568731271,159.10214982481818,50.50611121761507,690.0,Very Good
41,38602.0,0,3216.83,7,1,5,0,158000,160.59,327.9979443915955,159.10214982481818,50.50611121761507,718.0,Very Good
42,25128.0,0,2094.0,12,1,5,0,158000,160.59,329.9968421572871,159.10214982481818,50.50611121761507,720.0,Very Good
43,52444.0,0,4370.33,24,1,5,0,158000,160.59,323.9984869431187,159.10214982481818,50.50611121761507,714.0,Very Good
44,61840.0,0,5153.33,14,1,5,0,158000,160.59,318.99871683663247,159.10214982481818,50.50611121761507,709.0,Very Good
45,106208.0,23496,8850.67,9,1,4,0,158000,160.59,276.99925287191,159.10214982481818,48.94427190999916,666.0,Very Good
